k2,k5,k10
126793.36062472899,120575.44947914509,115176.3123335865
126024.60629922379,121400.95360218438,117732.55263423797
115866.7771461999,116754.91772656301,116761.16339673415
128953.93263463635,116602.82291170517,116306.21986883307
125300.52463501939,120568.84048189272,117711.019443461
128482.27182152821,122066.49473574704,117519.67294228016
124320.83350581002,116978.15167867205,119747.76578313168
125806.58798475139,117251.31586419225,117181.87598892
113122.41557140069,119619.34415734457,116898.51342562312
119240.53846055878,122209.40575281352,117198.13457716683
128689.04122684496,120751.92776246389,119936.08914652857
132325.8086381201,117749.63789128464,119011.19757949784
128519.48332713805,119772.58419293661,116240.41732105354
118311.71040821105,120385.62143355458,117730.30729103868
120512.79448321435,122116.90156925905,122619.50187989356
142494.0069731219,115662.4132512176,118508.75677448149
128090.39332147466,117505.07714542454,115316.03323014727
122492.37919673936,115088.15145745252,117792.51036778331
111670.14850442941,122268.24708895112,117564.00079090343
126139.9343544138,128552.06070181,119752.16751289996
117435.53726547243,119312.44319529845,119183.22017812933
129029.6178334924,119780.20321013071,123206.72622787327
135537.8557549939,120874.44568389918,121001.37825327509
131264.21257365082,123323.27519204693,118956.0471332776
126359.68417631401,118291.7150965954,118021.159022509
123965.58827097711,120251.26772545735,118826.48680453321
126200.64042969851,122560.58499735163,118490.35297019719
136358.5014900922,112258.77299194667,117127.13533649655
122326.8380173045,123358.97421733916,120880.3659515756
117826.94842045102,117803.32598528356,121097.04803204568
